Comment,Sentiment
"Hello Ma&#39;am,...  It&#39;s really superb class from your side.  I could understand very very clear.  I am now keen on learning other lessons too.  if possible for you , I wish to take your guidance and help in the future too",Positive
maam last six video nhi show ho raha hai,Neutral
Excellent class 👍,Positive
Mam I need notes but notes are not available in your app,Negative
notpad++ and vs code,Neutral
Maam apke app ka link mere phone me open nahi hota ha meine kai baar koish kakre dekha liya <br>Kya app notes ka koi link provide kar skti ha,Negative
Thank you so much for this amazing lecture mam,Positive
Apke app k Andr notes nahi h available. Please check,Positive
I am unable to get the notes of lectures. Please help.,Negative
This app &quot;Industries Helping Hands&quot; is not available on iOS.,Negative
How to registration app in Bangladesh,Neutral
Thanks very Nice class,Positive
i am facing problem while launching jupyter even day before yesterday it was working good,Positive
hi mam  i am working in non-IT industries but i wanted to switch my Carrer in IT as data analyst right now i ma watching this course but i am not able to find the study material. please help,Positive
Mam 1 qustion ap 30 days me python ke saath power Bi bhibrahega na,Neutral
"Mam lecture start kahan se ho raha playlist  mein iss wale video ke upar bhi aur bhi lectures hai 10hrs ke, data scienece ke liye padhna yaha  se start karna hai aur playlist ki saare videos cover hai for data science?",Neutral
THANK YOU VERY MUCH TEACHER. WHAT A WONDERFUL SESSION. THANK YOU MAM,Positive
Hello mamy,Neutral
Excellent. You are a shinning Star,Positive
I need a roadmap with  resources websites,Neutral
Mam !  Is visual studio code and jupyter note book  both required or either of the one is enough to write python code?,Neutral
Jupyter notebook version konsa hai,Neutral
how to installed jupyter notebook,Neutral
Mam python android phone m nhi sikh skte kya?,Neutral
Ma&#39;am jupiter notebook me code vale section me heading ka option nahin aa raha hai please bataiye kaise aayega,Neutral
very nice class thanks for the guidance,Positive
"Mind blowing iedias with best explanations, in touch from Karachi.",Positive
Hello Mam i am interested for data analytics course but i am confused for preparing I saw the iScale full playlist for data analytics full course and then this course is completely industry level or not i am confused please reply my question?,Positive
Mam kya ye course ek non technical background student k liye bhi hai????????,Neutral
Mam kya arts valey bhi ban saktey h,Neutral
"Hi  Madam, you are the best teacher. I like your teaching <a href=""http://matched.you/"">matched.you</a> can explain very easily, people can understand.l I am proud of you.I am a senior citizen of the UK.",Positive
job for freshers?,Neutral
Mam iski pdf me sirf coding parts diya theoretical parts nhi hai ???😢,Neutral
hello mam i am watching your videos and also watched excel videos was excellent .. i have doubt about this python session could you help me how to download anaconda for learning python .. please help me and give me some ways. and after complete python i want to switch your data analyst program. now initial stage i am learning,Positive
I wish I could be data analyst from electrical engineer.,Neutral
thanks for informative course,Positive
pycharm,Neutral
Ma&#39;am abhi mai 2025 me Ise pdh rha hu Data analytics k liye shi hai ?? Ya fir alag se python for Data analytics ka course Krna pdega ?? Pls reply Ma&#39;am,Neutral
"<a href=""http://www.youtube.com/results?search_query=%23day"">#Day</a> 1 Successfully Compleated <br>Thankyou Ma&#39;am 🙏",Positive
"good job <a href=""UCkszU2WH9gy1mb0dV-11UJg/JAJ1XpGpJYnW8wTupZu4Cw""></a>",Positive
coupon code  kya hai??,Neutral
will we get certificate?,Neutral
thanks for this learning series<br>Respect from Pakistan,Positive
I will use Google colab instead of jupyter notebook. As I have no laptop,Neutral
Ma&#39;am this series is also helpful for Financial Analyst??,Neutral
